"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Canada","CAN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","1.1","1.2","1.3","1.3","1.3","1.3","1.3","1.3","1.4","1.4","1.5","1.6","1.6","1.6","1.7","1.7","1.7","1.8","1.8","1.8","1.8","1.9","1.9","1.9","2","2","2.1","2.1","2.1","2.1","2.1","2.1","2.2","2.1","2.1","2.1","2.1","1.8611","2.1","","1.8871","1.8969","","1.8971","","1.9086","","1.959","","2.0384","","2.3962","2.4509","2.4961","2.5388","2.3105","2.6102","2.411","2.418","2.415","2.444","2.814","2.819","","",
"Central Europe and the Baltics","CEB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.41562102644665","","","","","","","","","","2.57009282393716","","","","","","","","","","2.7389623986153","","","","","","","","","","","","3.90795171540262","","","",
"Switzerland","CHE","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.5","1.5","1.6","1.6","1.7","1.8","1.9","2","2.1","2.2","2.4","2.5","2.6","2.6","2.6","2.6","2.7","2.8","2.9","3","2.9","2.984","3.03","3.012","3.061","3.115","3.164","3.584","3.265","3.33","3.363","3.51","3.514","3.561","3.658","3.696","3.74","3.79","3.788","3.82","3.836","3.808","3.832","3.915","4.039","4.125","4.196","4.25","4.297","4.338","4.349","4.388","4.435","4.477","","","",
"Channel Islands","CHI","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.019","","","","","","","","","","1.2","","","","","","","","","","1.457","1.522","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.559","","","","","0.473","","","","","0.463","","","","","","","","","0.516","","","","","0.817","","","","","","1.1","1.066","0.983","","","","","","","","","","0.882","0.936","0.974","0.97","1.031","1.028","1.031","1.022","1.423","1.575","1.735","1.868","2.016","2.138","2.286","2.43","2.569","2.627","2.798","2.979","3.178","3.334","","",
"China","CHN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","1.07","0.96","0.94","0.91","0.88","0.86","0.85","0.86","0.89","0.92","0.96","1","1.03","","1.12","","1.25","1.3","1.32","1.33","","1.35","1.37","1.47","1.54","1.13","","","","","1.192","1.199","1.213","1.21","1.239","1.263","1.28","1.137","1.185","1.215","1.239","1.273","1.294","1.343","1.419","1.46","1.485","1.562","1.658","1.711","1.797","1.888","2.003","2.122","2.255","2.385","2.517","3.112","","","",
"Cote d'Ivoire","CIV","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.033","","","","","0.048","","","","","0.064","","","","","","","","","","","","","","","0.071","","","","","0.088","","","","","","0.09","","","","","","","","0.106","0.085","","","0.128","","","0.14","","","0.214","","","","0.351","0.149","0.153","0.167","0.162","0.166","","",
"Cameroon","CMR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.034","","","","","0.037","","","","","0.034","","","","","0.072","","","","0.071","","","","","","","","","","0.084","0.082","","0.084","0.073","","","0.074","","","","","","","","0.188","0.061","","0.073","","0.07","0.087","0.091","","","","","","","0.131","","0.098","0.126","0.136","","","",
"Congo, Dem. Rep.","COD","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.015","","","","","0.028","","","","","0.035","","","","","0.036","","","","0.073","","","","","","","","0.075","","","0.066","","","","","","0.069","","","","","","","","0.107","","","","","0.088","","","","0.085","","","","","","0.162","","0.171","0.208","","","",
"Congo, Rep.","COG","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.06","","","","","0.068","","","","","0.101","","","","","","","","0.174","","","","0.119","","","0.252","0.252","","","","0.276","","","","","0.251","","","0.73","","","","","","0.212","","0.204","0.101","","","0.111","0.114","","","","","0.102","","0.099","","","","0.173","","","",
"Colombia","COL","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.354","","","","","0.377","","","","","0.42","","","","","","","0.478","","","","","","","","","","","","","0.807","0.863","0.922","0.963","1.008","1.054","1.095","1.138","1.185","1.222","1.264","1.29","1.321","1.352","1.391","1.432","1.469","1.511","1.563","1.617","1.666","1.754","1.814","1.884","1.96","2.022","2.088","2.163","2.242","2.317","2.394","2.467","","2.535","","",
"Comoros","COM","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.084","","","","0.163","","0.113","","0.127","","","","","0.074","","","","","","","0.198","0.196","","","","0.199","","","0.181","","","","0.291","","0.285","","0.441","","0.424","","","",
"Cabo Verde","CPV","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.077","","","","","","","","","","0.082","","","","","","","","","","0.176","","","0.2","","","0.329","","0.342","","","","0.234","","","","0.171","","","","","","","","0.493","","","","","0.136","0.573","0.571","0.508","0.601","0.461","0.743","0.731","0.659","0.711","0.743","0.725","0.732","0.718","0.73","","",
"Costa Rica","CRI","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.391","","","","","0.517","","","","","0.614","","","","","","","","","0.679","","","","","0.99","","","0.968","0.881","","1.26","","","0.883","0.845","0.854","0.864","0.872","0.901","1.719","1.322","","","","","","2.053","2.102","2.169","2.228","2.317","2.384","2.471","2.556","2.659","1.806","1.955","2.101","2.253","2.376","2.494","2.564","2.687","","","",
"Caribbean small states","CSS","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.646744868396248","","","","","","","","","","0.816590875553463","","","","","","","","","","1.26490310561646","","","","","","","","","","","","2.52508013216043","","","",
"Cuba","CUB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.946","","","","","0.876","","","","","0.822","","","","","","","","","","","1.388","","","1.886","","","","3","","3.639","3.978","4.345","4.709","4.967","5.202","5.485","5.694","5.753","5.858","5.941","5.952","6.001","6.068","6.203","6.268","6.339","6.416","6.602","6.63","6.772","6.957","7.26","7.408","7.582","7.803","8.003","8.187","8.505","8.677","9.291","9.542","","","","",
"Curacao","CUW","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","","","","","1.7","","1.939","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.52","1.583","1.688","1.745","1.809","1.863","1.869","1.877","1.882","1.892","1.899","1.908","1.87","1.851","1.898","1.881","1.822","1.974","2.007","2.046","2.127","2.206","2.236","2.326","2.396","2.498","2.594","2.651","2.789","2.928","3.197","3.355","3.556","","","",
"Czechia","CZE","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","1.8","1.9","1.9","1.9","2","2","2.1","2.1","2.1","2.2","","","","","","","","","","","2.721","2.676","2.681","2.867","2.936","3.001","2.99","3.119","3.039","3.088","3.38","3.442","3.491","3.509","3.499","3.539","3.551","3.561","3.558","3.584","3.599","3.637","3.676","3.689","3.9345","3.9516","4.0194","4.0676","4.069","4.112","4.153","4.246","4.352","","","",
"Germany","DEU","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.745","2.816","2.904","2.977","3.041","3.087","3.103","3.164","3.213","3.263","3.31","3.338","3.369","3.392","3.413","3.465","3.528","3.584","3.662","3.757","3.849","3.922","4.015","4.088","4.12","4.166","4.226","4.287","4.373","4.443","4.503","4.534","","","",
"Djibouti","DJI","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.157","","","","","","","","","","0.284","","","","","","","","","","","0.224","","","0.238","","","","","","0.162","","","","","0.191","0.14","","","0.128","","","","","0.156","0.167","0.216","","","","","","","","0.201","","","","","","","","0.211","","","",
"Dominica","DMA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.133","","","","","","","","","","0.161","","","","","","","","","","","","","","0.339","","","","","","0.46","0.528","","","","0.47","0.493","0.548","","","","1.816","","","","","","","","","","","","","","","","1.168","1.158","","","","","","","",
"Denmark","DNK","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.494","2.429","2.596","2.613","2.639","2.682","2.703","2.78","2.858","2.884","2.913","2.933","3.037","3.081","3.227","3.335","3.424","3.458","3.579","3.651","3.726","3.789","3.837","3.849","3.877","3.93","3.999","4.109","4.196","4.251","4.377","4.498","","","","",
"Dominican Republic","DOM","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.121","","","","","0.588","","","","","","","","","","0.435","","","","","","","","","0.564","","","","1.074","","1.49","","","1.054","","1.5","","2.156","","","1.825","","","","","","","","1.085","","","1.507","","","","","","","1.426","1.431","1.948","2.029","2.234","2.426","","",
"Algeria","DZA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.173","","","","","0.116","","","","","0.123","","","","","","","","","0.38","","","","","0.427","","","","0.429","","0.942","","","0.821","","0.846","","","1","","","","1.114","","","1.026","","1.195","","","","","","","","","1.819","","1.708","0.973","","","1.66","","","",
"East Asia & Pacific (excluding high income)","EAP","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86995459963443","","","","","","","","","","1.13449440950125","","","","","","","","","","1.17108426112459","","","","","","","","","","","","2.35417104796867","","","",
"Early-demographic dividend","EAR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.867610360650991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02202255025474","","","",
"East Asia & Pacific","EAS","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.939978162155519","","","","","","","","","","1.21307778222341","","","","","","","","","","1.27762802277028","","","","","","","","","","","","2.39850920121295","","","",
"Europe & Central Asia (excluding high income)","ECA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.87484065381973","","","","","","","","","","2.38144527163959","","","","","","","","","","2.59469978935536","","","","","","","","","","","","2.8530317107131","","","",
"Europe & Central Asia","ECS","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.15748234363779","","","","","","","","","","3.09981711339771","","","","","","","","","","3.43692249315009","","","","","","","","","","","","3.89693945987973","","","",
"Ecuador","ECU","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.396","","","","","0.335","","","","","0.348","","","","","0.351","","0.637","","","","","","","","","","","","","0.934","1.14","1.176","1.089","1.255","1.231","1.303","1.319","1.307","1.369","0.812","0.851","0.849","0.808","0.884","0.902","0.895","0.978","1.096","1.216","1.283","1.382","1.561","1.645","1.684","1.806","2.055","2.225","2.341","2.32","2.313","","","","","",
"Egypt, Arab Rep.","EGY","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.391","","","","","0.435","","","","","0.527","","","","","0.536","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.494","","","","","","","","","","","0.73","0.763","0.763","0.743","0.716","0.697","0.671","","","","","",
"Euro area","EMU","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.25170205376887","","","","","","","","","","3.23426956104654","","","","","","","","","","3.67212883296712","","","","","","","","","","","","4.19143376719531","","","",
"Eritrea","ERI","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.019","","","0.03","","","","0.045","0.041","0.055","0.042","0.055","0.046","0.05","0.045","0.045","0.044","0.044","0.045","0.05","0.056","0.066","0.068","0.072","0.071","0.088","0.077","0.088","0.085","0.088","","","",
"Spain","ESP","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.037","4.135","4.126","4.175","4.221","4.282","2.724","2.842","2.895","3.019","3.101","3.106","3.105","3.2","3.419","3.521","3.601","3.538","3.523","3.577","3.737","3.814","3.804","3.791","3.781","3.826","3.803","3.854","3.996","4.376","4.546","4.457","4.294","","","",
"Estonia","EST","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","2.938","","","","","3.35","3.408","3.484","","","3.501","3.526","3.249","3.186","3.171","3.156","3.107","3.189","2.946","2.992","2.942","2.783","2.964","2.996","3.023","3.142","3.182","3.26","3.342","3.281","3.244","3.294","3.284","3.335","3.361","3.417","3.457","3.468","3.483","3.469","3.479","3.43","3.469","","","",
"Ethiopia","ETH","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.009","","","","","0.014","","","","","0.012","","","","","0.012","","","","","0.011","0.011","","","0.013","","","","0.031","","","","","","0.029","","0.025","0.023","0.021","0.02","0.021","0.028","0.029","0.026","0.026","0.031","0.026","0.022","0.024","0.025","","","","","","","","","0.075","0.089","0.102","0.1","0.105","0.143","","",
"European Union","EUU","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.03986133126593","","","","","","","","","","3.06749209308793","","","","","","","","","","3.47349785369353","","","","","","","","","","","","4.15125812534835","","","",
